uf,nome_uf,mesorregiao_geografica,nome_mesorregiao,microrregiao_geografica,nome_microrregiao,municipio,geocodigo,nome_municipio,latitude,longitude,nome_municip_ibge,sigla_uf
11.0,Rondônia,2.0,Leste Rondoniense,6.0,Cacoal,15.0,1100015,Alta Floresta D'Oeste,-11.929,-61.996,ALTA FLORESTA D'OESTE,RO
11.0,Rondônia,2.0,Leste Rondoniense,6.0,Cacoal,379.0,1100379,Alto Alegre dos Parecis,-12.128,-61.851000000000006,ALTO ALEGRE DOS PARECIS,RO
11.0,Rondônia,2.0,Leste Rondoniense,3.0,Ariquemes,403.0,1100403,Alto Paraíso,-9.713,-63.321000000000005,ALTO PARAÍSO,RO
11.0,Rondônia,2.0,Leste Rondoniense,5.0,Alvorada D'Oeste,346.0,1100346,Alvorada D'Oeste,-11.408,-62.388999999999996,ALVORADA D'OESTE,RO
11.0,Rondônia,2.0,Leste Rondoniense,3.0,Ariquemes,23.0,1100023,Ariquemes,-9.913,-63.041000000000004,ARIQUEMES,RO
11.0,Rondônia,1.0,Madeira-Guaporé,1.0,Porto Velho,452.0,1100452,Buritis,-10.212,-63.82899999999999,BURITIS,RO
11.0,Rondônia,2.0,Leste Rondoniense,8.0,Colorado do Oeste,31.0,1100031,Cabixi,-13.492,-60.545,CABIXI,RO
11.0,Rondônia,2.0,Leste Rondoniense,3.0,Ariquemes,601.0,1100601,Cacaulândia,-10.34,-62.896,CACAULÂNDIA,RO
11.0,Rondônia,2.0,Leste Rondoniense,6.0,Cacoal,49.0,1100049,Cacoal,-11.437999999999999,-61.448,CACOAL,RO
11.0,Rondônia,1.0,Madeira-Guaporé,1.0,Porto Velho,700.0,1100700,Campo Novo de Rondônia,-10.571,-63.626999999999995,CAMPO NOVO DE RONDÔNIA,RO
11.0,Rondônia,1.0,Madeira-Guaporé,1.0,Porto Velho,809.0,1100809,Candeias do Jamari,-8.791,-63.701,CANDEIAS DO JAMARI,RO
11.0,Rondônia,2.0,Leste Rondoniense,6.0,Cacoal,908.0,1100908,Castanheiras,-11.427,-61.95,CASTANHEIRAS,RO
11.0,Rondônia,2.0,Leste Rondoniense,8.0,Colorado do Oeste,56.0,1100056,Cerejeiras,-13.189,-60.812,CEREJEIRAS,RO
11.0,Rondônia,2.0,Leste Rondoniense,7.0,Vilhena,924.0,1100924,Chupinguaia,-12.552,-60.9,CHUPINGUAIA,RO
11.0,Rondônia,2.0,Leste Rondoniense,8.0,Colorado do Oeste,64.0,1100064,Colorado do Oeste,-13.117,-60.542,COLORADO DO OESTE,RO
11.0,Rondônia,2.0,Leste Rondoniense,8.0,Colorado do Oeste,72.0,1100072,Corumbiara,-12.962,-60.887,CORUMBIARA,RO
11.0,Rondônia,1.0,Madeira-Guaporé,2.0,Guajará-Mirim,80.0,1100080,Costa Marques,-12.445,-64.227,COSTA MARQUES,RO
11.0,Rondônia,1.0,Madeira-Guaporé,1.0,Porto Velho,940.0,1100940,Cujubim,-9.363,-62.585,CUJUBIM,RO
11.0,Rondônia,2.0,Leste Rondoniense,6.0,Cacoal,98.0,1100098,Espigão D'Oeste,-11.525,-61.013000000000005,ESPIGÃO D'OESTE,RO
11.0,Rondônia,2.0,Leste Rondoniense,4.0,Ji-Paraná,1005.0,1101005,Governador Jorge Teixeira,-10.61,-62.736999999999995,GOVERNADOR JORGE TEIXEIRA,RO
11.0,Rondônia,1.0,Madeira-Guaporé,2.0,Guajará-Mirim,106.0,1100106,Guajará-Mirim,-10.783,-65.339,GUAJARÁ-MIRIM,RO
11.0,Rondônia,1.0,Madeira-Guaporé,1.0,Porto Velho,1104.0,1101104,Itapuã do Oeste,-9.205,-63.18,ITAPUÃ DO OESTE,RO
11.0,Rondônia,2.0,Leste Rondoniense,4.0,Ji-Paraná,114.0,1100114,Jaru,-10.439,-62.466,JARU,RO
11.0,Rondônia,2.0,Leste Rondoniense,4.0,Ji-Paraná,122.0,1100122,Ji-Paraná,-10.882,-61.943999999999996,JI-PARANÁ,RO
11.0,Rondônia,2.0,Leste Rondoniense,3.0,Ariquemes,130.0,1100130,Machadinho D'Oeste,-9.443999999999999,-61.981,MACHADINHO D'OESTE,RO
11.0,Rondônia,2.0,Leste Rondoniense,6.0,Cacoal,1203.0,1101203,Ministro Andreazza,-11.196,-61.516999999999996,MINISTRO ANDREAZZA,RO
11.0,Rondônia,2.0,Leste Rondoniense,4.0,Ji-Paraná,1302.0,1101302,Mirante da Serra,-11.03,-62.675,MIRANTE DA SERRA,RO
11.0,Rondônia,2.0,Leste Rondoniense,3.0,Ariquemes,1401.0,1101401,Monte Negro,-10.245999999999999,-63.29,MONTE NEGRO,RO
11.0,Rondônia,2.0,Leste Rondoniense,5.0,Alvorada D'Oeste,148.0,1100148,Nova Brasilândia D'Oeste,-11.725,-62.331,NOVA BRASILÂNDIA D'OESTE,RO
11.0,Rondônia,1.0,Madeira-Guaporé,1.0,Porto Velho,338.0,1100338,Nova Mamoré,-10.411,-65.331,NOVA MAMORÉ,RO
11.0,Rondônia,2.0,Leste Rondoniense,4.0,Ji-Paraná,1435.0,1101435,Nova União,-10.904000000000002,-62.56100000000001,NOVA UNIÃO,RO
11.0,Rondônia,2.0,Leste Rondoniense,6.0,Cacoal,502.0,1100502,Novo Horizonte do Oeste,-11.71,-62.0,NOVO HORIZONTE DO OESTE,RO
11.0,Rondônia,2.0,Leste Rondoniense,4.0,Ji-Paraná,155.0,1100155,Ouro Preto do Oeste,-10.716,-62.248000000000005,OURO PRETO DO OESTE,RO
11.0,Rondônia,2.0,Leste Rondoniense,7.0,Vilhena,1450.0,1101450,Parecis,-12.175,-61.603,PARECIS,RO
11.0,Rondônia,2.0,Leste Rondoniense,7.0,Vilhena,189.0,1100189,Pimenta Bueno,-11.673,-61.193000000000005,PIMENTA BUENO,RO
11.0,Rondônia,2.0,Leste Rondoniense,8.0,Colorado do Oeste,1468.0,1101468,Pimenteiras do Oeste,-13.482999999999999,-61.047,PIMENTEIRAS DO OESTE,RO
11.0,Rondônia,1.0,Madeira-Guaporé,1.0,Porto Velho,205.0,1100205,Porto Velho,-8.762,-63.903999999999996,PORTO VELHO,RO
11.0,Rondônia,2.0,Leste Rondoniense,4.0,Ji-Paraná,254.0,1100254,Presidente Médici,-11.175999999999998,-61.901,PRESIDENTE MÉDICI,RO
11.0,Rondônia,2.0,Leste Rondoniense,7.0,Vilhena,1476.0,1101476,Primavera de Rondônia,-11.828,-61.321000000000005,PRIMAVERA DE RONDÔNIA,RO
11.0,Rondônia,2.0,Leste Rondoniense,3.0,Ariquemes,262.0,1100262,Rio Crespo,-9.705,-62.9,RIO CRESPO,RO
11.0,Rondônia,2.0,Leste Rondoniense,6.0,Cacoal,288.0,1100288,Rolim de Moura,-11.732999999999999,-61.778,ROLIM DE MOURA,RO
11.0,Rondônia,2.0,Leste Rondoniense,6.0,Cacoal,296.0,1100296,Santa Luzia D'Oeste,-11.902000000000001,-61.778999999999996,SANTA LUZIA D'OESTE,RO
11.0,Rondônia,2.0,Leste Rondoniense,7.0,Vilhena,1484.0,1101484,São Felipe D'Oeste,-11.902999999999999,-61.501999999999995,SÃO FELIPE D'OESTE,RO
11.0,Rondônia,1.0,Madeira-Guaporé,2.0,Guajará-Mirim,1492.0,1101492,São Francisco do Guaporé,-12.062000000000001,-63.568999999999996,SÃO FRANCISCO DO GUAPORÉ,RO
11.0,Rondônia,2.0,Leste Rondoniense,5.0,Alvorada D'Oeste,320.0,1100320,São Miguel do Guaporé,-11.681,-62.684,SÃO MIGUEL DO GUAPORÉ,RO
11.0,Rondônia,2.0,Leste Rondoniense,5.0,Alvorada D'Oeste,1500.0,1101500,Seringueiras,-11.798,-63.031000000000006,SERINGUEIRAS,RO
11.0,Rondônia,2.0,Leste Rondoniense,4.0,Ji-Paraná,1559.0,1101559,Teixeirópolis,-10.918,-62.248999999999995,TEIXEIRÓPOLIS,RO
11.0,Rondônia,2.0,Leste Rondoniense,4.0,Ji-Paraná,1609.0,1101609,Theobroma,-10.244000000000002,-62.355,THEOBROMA,RO
11.0,Rondônia,2.0,Leste Rondoniense,4.0,Ji-Paraná,1708.0,1101708,Urupá,-11.125,-62.376000000000005,URUPÁ,RO
11.0,Rondônia,2.0,Leste Rondoniense,3.0,Ariquemes,1757.0,1101757,Vale do Anari,-9.863,-62.18600000000001,VALE DO ANARI,RO
11.0,Rondônia,2.0,Leste Rondoniense,4.0,Ji-Paraná,1807.0,1101807,Vale do Paraíso,-10.449000000000002,-62.13399999999999,VALE DO PARAÍSO,RO
11.0,Rondônia,2.0,Leste Rondoniense,7.0,Vilhena,304.0,1100304,Vilhena,-12.741,-60.146,VILHENA,RO
12.0,Acre,2.0,Vale do Acre,4.0,Rio Branco,13.0,1200013,Acrelândia,-9.828,-66.883,ACRELÂNDIA,AC
12.0,Acre,2.0,Vale do Acre,5.0,Brasiléia,54.0,1200054,Assis Brasil,-10.940999999999999,-69.567,ASSIS BRASIL,AC
12.0,Acre,2.0,Vale do Acre,5.0,Brasiléia,104.0,1200104,Brasiléia,-11.01,-68.748,BRASILÉIA,AC
12.0,Acre,2.0,Vale do Acre,4.0,Rio Branco,138.0,1200138,Bujari,-9.831,-67.952,BUJARI,AC
12.0,Acre,2.0,Vale do Acre,4.0,Rio Branco,179.0,1200179,Capixaba,-10.573,-67.676,CAPIXABA,AC
12.0,Acre,1.0,Vale do Juruá,1.0,Cruzeiro do Sul,203.0,1200203,Cruzeiro do Sul,-7.631,-72.67,CRUZEIRO DO SUL,AC
12.0,Acre,2.0,Vale do Acre,5.0,Brasiléia,252.0,1200252,Epitaciolândia,-11.029000000000002,-68.741,EPITACIOLÂNDIA,AC
12.0,Acre,1.0,Vale do Juruá,2.0,Tarauacá,302.0,1200302,Feijó,-8.164,-70.354,FEIJÓ,AC
12.0,Acre,1.0,Vale do Juruá,2.0,Tarauacá,328.0,1200328,Jordão,-9.434,-71.884,JORDÃO,AC
12.0,Acre,1.0,Vale do Juruá,1.0,Cruzeiro do Sul,336.0,1200336,Mâncio Lima,-7.614,-72.896,MÂNCIO LIMA,AC
12.0,Acre,2.0,Vale do Acre,3.0,Sena Madureira,344.0,1200344,Manoel Urbano,-8.839,-69.26,MANOEL URBANO,AC
12.0,Acre,1.0,Vale do Juruá,1.0,Cruzeiro do Sul,351.0,1200351,Marechal Thaumaturgo,-8.941,-72.792,MARECHAL THAUMATURGO,AC
12.0,Acre,2.0,Vale do Acre,4.0,Rio Branco,385.0,1200385,Plácido de Castro,-10.335,-67.184,PLÁCIDO DE CASTRO,AC
12.0,Acre,2.0,Vale do Acre,4.0,Rio Branco,807.0,1200807,Porto Acre,-9.588,-67.533,PORTO ACRE,AC
12.0,Acre,1.0,Vale do Juruá,1.0,Cruzeiro do Sul,393.0,1200393,Porto Walter,-8.269,-72.744,PORTO WALTER,AC
12.0,Acre,2.0,Vale do Acre,4.0,Rio Branco,401.0,1200401,Rio Branco,-9.975,-67.81,RIO BRANCO,AC
12.0,Acre,1.0,Vale do Juruá,1.0,Cruzeiro do Sul,427.0,1200427,Rodrigues Alves,-7.742000000000001,-72.64699999999999,RODRIGUES ALVES,AC
12.0,Acre,2.0,Vale do Acre,3.0,Sena Madureira,435.0,1200435,Santa Rosa do Purus,-9.433,-70.493,SANTA ROSA DO PURUS,AC
12.0,Acre,2.0,Vale do Acre,3.0,Sena Madureira,500.0,1200500,Sena Madureira,-9.066,-68.657,SENA MADUREIRA,AC
12.0,Acre,2.0,Vale do Acre,4.0,Rio Branco,450.0,1200450,Senador Guiomard,-10.151,-67.736,SENADOR GUIOMARD,AC
12.0,Acre,1.0,Vale do Juruá,2.0,Tarauacá,609.0,1200609,Tarauacá,-8.161,-70.766,TARAUACÁ,AC
12.0,Acre,2.0,Vale do Acre,5.0,Brasiléia,708.0,1200708,Xapuri,-10.652000000000001,-68.50399999999999,XAPURI,AC
13.0,Amazonas,3.0,Centro Amazonense,5.0,Tefé,29.0,1300029,Alvarães,-3.221,-64.804,ALVARÃES,AM
13.0,Amazonas,2.0,Sudoeste Amazonense,3.0,Alto Solimões,60.0,1300060,Amaturá,-3.364,-68.19800000000001,AMATURÁ,AM
13.0,Amazonas,3.0,Centro Amazonense,6.0,Coari,86.0,1300086,Anamã,-3.58,-61.403999999999996,ANAMÃ,AM
13.0,Amazonas,3.0,Centro Amazonense,6.0,Coari,102.0,1300102,Anori,-3.773,-61.644,ANORI,AM
13.0,Amazonas,4.0,Sul Amazonense,13.0,Madeira,144.0,1300144,Apuí,-7.197,-59.891000000000005,APUÍ,AM
13.0,Amazonas,2.0,Sudoeste Amazonense,3.0,Alto Solimões,201.0,1300201,Atalaia do Norte,-4.372,-70.192,ATALAIA DO NORTE,AM
13.0,Amazonas,3.0,Centro Amazonense,7.0,Manaus,300.0,1300300,Autazes,-3.58,-59.131,AUTAZES,AM
13.0,Amazonas,1.0,Norte Amazonense,1.0,Rio Negro,409.0,1300409,Barcelos,-0.975,-62.924,BARCELOS,AM
